proxy_name,rds_file,n_loocv_rows,overall_total_obs,overall_n_zero,overall_n_positive,overall_pct_positive,overall_mean_proxy,overall_median_proxy,euets0_total_obs,euets0_n_zero,euets0_n_positive,euets0_pct_positive,euets0_mean_proxy,euets0_median_proxy,euets1_total_obs,euets1_n_zero,euets1_n_positive,euets1_pct_positive,euets1_mean_proxy,euets1_median_proxy,mod_fuel_def,mod_use_siec_all,mod_supplier_non_euets,mod_buyer_sector_siec,mod_emissions_weighted,mod_supplier_nace_filter,mod_proxy_id
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC0_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC0_wEm1_nacenone.rds,6642,6622,156,6466,0.976442162488674,832941883.878359,14657121.3875261,2685,144,2541,0.946368715083799,450354832.226126,323232.056266911,3937,12,3925,0.996951993903988,1093862949.0768,59773904.7793263,broad_ch27,TRUE,FALSE,FALSE,TRUE,none,33
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm0_nacehigh.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,TRUE,FALSE,TRUE,FALSE,high,19
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm0_nacehigh_medium.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,TRUE,FALSE,TRUE,FALSE,high_medium,20
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm0_nacenone.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,TRUE,FALSE,TRUE,FALSE,none,21
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm1_nacehigh.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,TRUE,FALSE,TRUE,TRUE,high,43
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm1_nacehigh_medium.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,TRUE,FALSE,TRUE,TRUE,high_medium,44
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS0_buyerSIEC1_wEm1_nacenone.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,TRUE,FALSE,TRUE,TRUE,none,45
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm0_nacehigh.rds,6642,6622,1070,5552,0.838417396556931,68989450.4276949,63193.9143725586,2685,922,1763,0.656610800744879,54762547.2867252,3835.18011474609,3937,148,3789,0.96240792481585,78692075.5060549,308057.722167969,broad_ch27,TRUE,TRUE,FALSE,FALSE,high,10
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm0_nacehigh_medium.rds,6642,6622,1008,5614,0.847780126849894,75926707.9181041,76785.4440625,2685,890,1795,0.66852886405959,54881362.3045247,4450.6298828125,3937,118,3819,0.97002794005588,90279451.878597,420465.483154297,broad_ch27,TRUE,TRUE,FALSE,FALSE,high_medium,11
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm0_nacenone.rds,6642,6622,185,6437,0.97206282090003,92991864.4319858,1186442.85045898,2685,167,2518,0.93780260707635,57756499.7514191,61825.06,3937,18,3919,0.995427990855982,117022078.850914,4134165.74911499,broad_ch27,TRUE,TRUE,FALSE,FALSE,none,12
